region,species,production_system,group,year,ahle_total_mean,ahle_dueto_mortality_mean,ahle_dueto_healthcost_mean,ahle_dueto_productionloss_mean,ahle_dueto_ppr_total_mean,ahle_dueto_ppr_mortality_mean,ahle_dueto_ppr_healthcost_mean,ahle_dueto_ppr_productionloss_mean,ahle_dueto_bruc_total_mean,ahle_dueto_bruc_mortality_mean,ahle_dueto_bruc_healthcost_mean,ahle_dueto_bruc_productionloss_mean,ahle_when_af_repro_imp25_mean,ahle_when_af_repro_imp50_mean,ahle_when_af_repro_imp75_mean,ahle_when_af_repro_imp100_mean,ahle_when_af_ideal_mean,ahle_when_am_ideal_mean,ahle_when_jf_ideal_mean,ahle_when_jm_ideal_mean,ahle_when_nf_ideal_mean,ahle_when_nm_ideal_mean,ahle_when_af_mort_imp25_mean,ahle_when_am_mort_imp25_mean,ahle_when_j_mort_imp25_mean,ahle_when_n_mort_imp25_mean,ahle_when_af_mort_imp50_mean,ahle_when_am_mort_imp50_mean,ahle_when_j_mort_imp50_mean,ahle_when_n_mort_imp50_mean,ahle_when_af_mort_imp75_mean,ahle_when_am_mort_imp75_mean,ahle_when_j_mort_imp75_mean,ahle_when_n_mort_imp75_mean,ahle_when_af_mort_imp100_mean,ahle_when_am_mort_imp100_mean,ahle_when_j_mort_imp100_mean,ahle_when_n_mort_imp100_mean,ahle_when_all_growth_imp25_mean,ahle_when_af_growth_imp25_mean,ahle_when_am_growth_imp25_mean,ahle_when_jf_growth_imp25_mean,ahle_when_jm_growth_imp25_mean,ahle_when_nf_growth_imp25_mean,ahle_when_nm_growth_imp25_mean,ahle_when_all_growth_imp50_mean,ahle_when_af_growth_imp50_mean,ahle_when_am_growth_imp50_mean,ahle_when_jf_growth_imp50_mean,ahle_when_jm_growth_imp50_mean,ahle_when_nf_growth_imp50_mean,ahle_when_nm_growth_imp50_mean,ahle_when_all_growth_imp75_mean,ahle_when_af_growth_imp75_mean,ahle_when_am_growth_imp75_mean,ahle_when_jf_growth_imp75_mean,ahle_when_jm_growth_imp75_mean,ahle_when_nf_growth_imp75_mean,ahle_when_nm_growth_imp75_mean,ahle_when_all_growth_imp100_mean,ahle_when_af_growth_imp100_mean,ahle_when_am_growth_imp100_mean,ahle_when_jf_growth_imp100_mean,ahle_when_jm_growth_imp100_mean,ahle_when_nf_growth_imp100_mean,ahle_when_nm_growth_imp100_mean,ahle_when_a_ideal_mean,ahle_when_j_ideal_mean,ahle_when_n_ideal_mean,ahle_when_a_mort_imp100_mean,ahle_total_stdev,ahle_dueto_mortality_stdev,ahle_dueto_healthcost_stdev,ahle_dueto_productionloss_stdev,ahle_dueto_ppr_total_stdev,ahle_dueto_ppr_mortality_stdev,ahle_dueto_ppr_healthcost_stdev,ahle_dueto_ppr_productionloss_stdev,ahle_dueto_bruc_total_stdev,ahle_dueto_bruc_mortality_stdev,ahle_dueto_bruc_healthcost_stdev,ahle_dueto_bruc_productionloss_stdev,ahle_total_mean_usd,ahle_dueto_mortality_mean_usd,ahle_dueto_healthcost_mean_usd,ahle_dueto_productionloss_mean_usd,ahle_dueto_ppr_total_mean_usd,ahle_dueto_ppr_mortality_mean_usd,ahle_dueto_ppr_healthcost_mean_usd,ahle_dueto_ppr_productionloss_mean_usd,ahle_dueto_bruc_total_mean_usd,ahle_dueto_bruc_mortality_mean_usd,ahle_dueto_bruc_healthcost_mean_usd,ahle_dueto_bruc_productionloss_mean_usd,ahle_when_af_repro_imp25_mean_usd,ahle_when_af_repro_imp50_mean_usd,ahle_when_af_repro_imp75_mean_usd,ahle_when_af_repro_imp100_mean_usd,ahle_when_af_ideal_mean_usd,ahle_when_am_ideal_mean_usd,ahle_when_jf_ideal_mean_usd,ahle_when_jm_ideal_mean_usd,ahle_when_nf_ideal_mean_usd,ahle_when_nm_ideal_mean_usd,ahle_when_af_mort_imp25_mean_usd,ahle_when_am_mort_imp25_mean_usd,ahle_when_j_mort_imp25_mean_usd,ahle_when_n_mort_imp25_mean_usd,ahle_when_af_mort_imp50_mean_usd,ahle_when_am_mort_imp50_mean_usd,ahle_when_j_mort_imp50_mean_usd,ahle_when_n_mort_imp50_mean_usd,ahle_when_af_mort_imp75_mean_usd,ahle_when_am_mort_imp75_mean_usd,ahle_when_j_mort_imp75_mean_usd,ahle_when_n_mort_imp75_mean_usd,ahle_when_af_mort_imp100_mean_usd,ahle_when_am_mort_imp100_mean_usd,ahle_when_j_mort_imp100_mean_usd,ahle_when_n_mort_imp100_mean_usd,ahle_when_all_growth_imp25_mean_usd,ahle_when_af_growth_imp25_mean_usd,ahle_when_am_growth_imp25_mean_usd,ahle_when_jf_growth_imp25_mean_usd,ahle_when_jm_growth_imp25_mean_usd,ahle_when_nf_growth_imp25_mean_usd,ahle_when_nm_growth_imp25_mean_usd,ahle_when_all_growth_imp50_mean_usd,ahle_when_af_growth_imp50_mean_usd,ahle_when_am_growth_imp50_mean_usd,ahle_when_jf_growth_imp50_mean_usd,ahle_when_jm_growth_imp50_mean_usd,ahle_when_nf_growth_imp50_mean_usd,ahle_when_nm_growth_imp50_mean_usd,ahle_when_all_growth_imp75_mean_usd,ahle_when_af_growth_imp75_mean_usd,ahle_when_am_growth_imp75_mean_usd,ahle_when_jf_growth_imp75_mean_usd,ahle_when_jm_growth_imp75_mean_usd,ahle_when_nf_growth_imp75_mean_usd,ahle_when_nm_growth_imp75_mean_usd,ahle_when_all_growth_imp100_mean_usd,ahle_when_af_growth_imp100_mean_usd,ahle_when_am_growth_imp100_mean_usd,ahle_when_jf_growth_imp100_mean_usd,ahle_when_jm_growth_imp100_mean_usd,ahle_when_nf_growth_imp100_mean_usd,ahle_when_nm_growth_imp100_mean_usd,ahle_when_a_ideal_mean_usd,ahle_when_j_ideal_mean_usd,ahle_when_n_ideal_mean_usd,ahle_when_a_mort_imp100_mean_usd,ahle_total_stdev_usd,ahle_dueto_mortality_stdev_usd,ahle_dueto_healthcost_stdev_usd,ahle_dueto_productionloss_stdev_usd,ahle_dueto_ppr_total_stdev_usd,ahle_dueto_ppr_mortality_stdev_usd,ahle_dueto_ppr_healthcost_stdev_usd,ahle_dueto_ppr_productionloss_stdev_usd,ahle_dueto_bruc_total_stdev_usd,ahle_dueto_bruc_mortality_stdev_usd,ahle_dueto_bruc_healthcost_stdev_usd,ahle_dueto_bruc_productionloss_stdev_usd
Afar,Cattle,Overall,Overall,2021,-764187387190.317,121888282957.85925,444280594.7945756,-886519950742.9708,,,,,,,,,,,,,-772073613230.2383,108948367606.31775,159081351265.4131,142845652507.10266,129875820193.53284,134059163625.86523,,,,,,,,,,,,,97880461281.56213,69308820119.89648,56195872671.45178,39311219646.10657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120978670341.28946,169367805570.84613,47385925.90680582,208137681564.0462,,,,,,,,,-21879456244.162178,3489784571.6320033,12720201.873100782,-25381961017.667282,,,,,,,,,,,,,-22105246855.816254,3119301733.9367175,4554659658.89721,4089815215.596573,3718475825.08109,3838249170.096041,,,,,,,,,,,,,2802416404.2307096,1984381478.3743885,1608944557.0911117,1125519898.0893826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3463741444.2826376,4849171228.514683,1356706.8887108767,5959191911.404545,,,,,,,,
Afar,Cattle,Pastoral,Overall,2021,-764187387190.317,121888282957.85925,444280594.7945756,-886519950742.9708,,,,,,,,,,,,,-772073613230.2383,108948367606.31775,159081351265.4131,142845652507.10266,129875820193.53284,134059163625.86523,,,,,,,,,,,,,97880461281.56213,69308820119.89648,56195872671.45178,39311219646.10657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120978670341.28946,169367805570.84613,47385925.90680582,208137681564.0462,,,,,,,,,-21879456244.162178,3489784571.6320033,12720201.873100782,-25381961017.667282,,,,,,,,,,,,,-22105246855.816254,3119301733.9367175,4554659658.89721,4089815215.596573,3718475825.08109,3838249170.096041,,,,,,,,,,,,,2802416404.2307096,1984381478.3743885,1608944557.0911117,1125519898.0893826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3463741444.2826376,4849171228.514683,1356706.8887108767,5959191911.404545,,,,,,,,
Amhara,Cattle,Crop livestock mixed,Overall,2021,223391319487.63284,-4102561655.4398575,243908410.5286611,227249972732.54404,,,,,,,,,,,,,-84723382553.39645,-110931536351.20343,-72485511557.15198,-89034499659.95078,-42707088418.23405,-64361937057.00969,,,,,,,,,,,,,2852564980.0255966,-14024128986.151606,17112389748.138176,32539915970.939278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18591636819.8082,5866630828.137106,915780.4705241177,19495289629.85548,,,,,,,,,6395918961.742907,-117460481.2037014,6983343.987612736,6506396098.958995,,,,,,,,,,,,,-2425715959.8641686,-3176081856.856634,-2075333360.6845403,-2549147594.143188,-1222747048.728256,-1842747223.0415885,,,,,,,,,,,,,81671814.67567962,-401524968.4284223,489944991.24622923,931650639.1089795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532297328.01785016,167967562.2190185,26219.719233733736,558169820.0908182,,,,,,,,
Amhara,Cattle,Overall,Overall,2021,245406964369.44107,297114857.4809189,598189994.8570075,244511659517.10315,,,,,,,,,,,,,91204603107.84137,55203614977.15528,54218497204.83222,56332862800.99816,55765671720.966255,55170201862.280846,,,,,,,,,,,,,61313811322.04235,54813345796.92745,60696301024.09368,63025716130.40682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20386946891.435013,6196364601.082088,5586699.850151914,21307805354.72741,,,,,,,,,7026249096.671676,8506698.26892246,17126783.348636944,7000615615.054116,,,,,,,,,,,,,2611279846.296681,1580535217.7468512,1552330301.5755234,1612866722.7739453,1596627469.6461694,1579578566.541753,,,,,,,,,,,,,1755476306.558491,1569361417.1903741,1737796363.430978,1804489869.1697426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583698867.503191,177408172.9622779,159952.85576497545,610063974.7954613,,,,,,,,
Amhara,Cattle,Periurban dairy,Overall,2021,22015644881.80825,4399676512.920776,354281584.32834643,17261686784.559128,,,,,,,,,,,,,175927985661.23782,166135151328.3587,126704008761.98419,145367362460.94894,98472760139.2003,119532138919.29053,,,,,,,,,,,,,58461246342.016754,68837474783.07906,43583911275.95551,30485800159.467545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8365323897.766525,1994386370.7653372,5511130.677591854,8599782048.575394,,,,,,,,,630330134.92877,125967179.47262385,10143439.361024208,494219516.09512186,,,,,,,,,,,,,5036995806.16085,4756617074.603485,3627663662.2600636,4162014316.9171333,2819374518.3744254,3422325789.583341,,,,,,,,,,,,,1673804491.8828113,1970886385.6187963,1247851372.1847491,872839230.0607631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239507666.91186506,57101294.8716023,157789.23407721837,246220440.42487812,,,,,,,,
Benishangul Gumz,Cattle,Crop livestock mixed,Overall,2021,-64048886415.7453,-449136769.2674103,42791755.38365555,-63642541401.86154,,,,,,,,,,,,,-65389982727.68299,3456866174.602371,4477624871.846436,1734389873.0894165,3108469824.264099,6784635810.991592,,,,,,,,,,,,,1879254297.8550568,-889775142.4479523,2316775181.4667664,2218674773.5283203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11169533551.343079,15737335530.752739,3965386.706324376,19298244093.34598,,,,,,,,,-1833784267.1978207,-12859239.049941733,1225171.1494086883,-1822150199.2972875,,,,,,,,,,,,,-1872181208.2728772,98973567.8407638,128198919.66751073,49657332.71010824,88998628.66926238,194250971.48612982,,,,,,,,,,,,,53804947.41315776,-25475160.441878356,66331611.93203385,63522898.23300869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319795019.78282434,450575801.06206477,113533.02395005284,552528207.4884195,,,,,,,,
Benishangul Gumz,Cattle,Overall,Overall,2021,-64048886415.7453,-449136769.2674103,42791755.38365555,-63642541401.86154,,,,,,,,,,,,,-65389982727.68299,3456866174.602371,4477624871.846436,1734389873.0894165,3108469824.264099,6784635810.991592,,,,,,,,,,,,,1879254297.8550568,-889775142.4479523,2316775181.4667664,2218674773.5283203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11169533551.343079,15737335530.752739,3965386.706324376,19298244093.34598,,,,,,,,,-1833784267.1978207,-12859239.049941733,1225171.1494086883,-1822150199.2972875,,,,,,,,,,,,,-1872181208.2728772,98973567.8407638,128198919.66751073,49657332.71010824,88998628.66926238,194250971.48612982,,,,,,,,,,,,,53804947.41315776,-25475160.441878356,66331611.93203385,63522898.23300869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319795019.78282434,450575801.06206477,113533.02395005284,552528207.4884195,,,,,,,,
Gambela,Cattle,Overall,Overall,2021,-30854221321.5358,4804886196.730087,17803072.310912408,-35676910590.5768,,,,,,,,,,,,,-29494582725.61767,2603897215.649872,2948375094.697815,2043643469.587555,3191370792.5560226,3855445922.094223,,,,,,,,,,,,,3529327850.3856125,1054079079.2770996,1752976657.8789825,3112936839.984749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4363076751.60858,6659227129.181754,1788578.580387005,7961265470.857688,,,,,,,,,-883387499.8045665,137568741.72715586,509719.9301736904,-1021465961.461896,,,,,,,,,,,,,-844459674.4230986,74552205.58346973,84414954.96673614,58511575.329589866,91372167.06932771,110385308.32645875,,,,,,,,,,,,,101048218.75918213,30179347.99699385,50189491.11960276,89126523.83822255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124919291.36350285,190660394.34197572,51208.8100965703,227939066.30443946,,,,,,,,
Gambela,Cattle,Pastoral,Overall,2021,-30854221321.5358,4804886196.730087,17803072.310912408,-35676910590.5768,,,,,,,,,,,,,-29494582725.61767,2603897215.649872,2948375094.697815,2043643469.587555,3191370792.5560226,3855445922.094223,,,,,,,,,,,,,3529327850.3856125,1054079079.2770996,1752976657.8789825,3112936839.984749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4363076751.60858,6659227129.181754,1788578.580387005,7961265470.857688,,,,,,,,,-883387499.8045665,137568741.72715586,509719.9301736904,-1021465961.461896,,,,,,,,,,,,,-844459674.4230986,74552205.58346973,84414954.96673614,58511575.329589866,91372167.06932771,110385308.32645875,,,,,,,,,,,,,101048218.75918213,30179347.99699385,50189491.11960276,89126523.83822255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124919291.36350285,190660394.34197572,51208.8100965703,227939066.30443946,,,,,,,,
National,All Poultry,Overall,Overall,2017,86031573021.9633,29173522167.630928,1630428.238402313,56856420426.09397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113509060.14038849,8675980611.169554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29774287879.504166,3914796862.9582195,10858562582.535795,8457594808.356798,17411154704.566784,7231884174.213547,10807.21713115988,18853340734.620884,,,,,,,,,3604759761.9243226,1222383075.5324636,68315.64159587525,2382308370.750263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4756078.242385051,363527304.03285015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1247555416.2026916,164031665.4921174,454978423.5593282,354376845.3477115,729534840.3270358,303019044.7342745,452.8270271524475,789963052.7580836,,,,,,,,
