production_system,group,age_group,sex,ahle_component,cause,median,mean,sd,lower95,upper95
Crop livestock mixed,Adult female,Adult,Female,Mortality,External,1992733804.4949,2005436627.30308,333692160.490321,1984754552.96399,2026118701.64216
Crop livestock mixed,Adult female,Adult,Female,Mortality,Infectious,4043880671.60895,4053467559.17069,480459305.148405,4023688930.11514,4083246188.22623
Crop livestock mixed,Adult female,Adult,Female,Mortality,Non-infectious,2631560870.08396,2642189948.88888,402664381.405231,2617233010.56078,2667146887.21697
Crop livestock mixed,Adult male,Adult,Male,Mortality,External,1998386238.91882,2020374782.65035,483402828.955536,1990413715.45149,2050335849.84921
Crop livestock mixed,Adult male,Adult,Male,Mortality,Infectious,3815952855.12368,3847266140.19433,788817645.006557,3798375614.41741,3896156665.97126
Crop livestock mixed,Adult male,Adult,Male,Mortality,Non-infectious,2254907844.85486,2282106912.5423,504121874.458063,2250861689.19578,2313352135.88881
Crop livestock mixed,Juvenile,Juvenile,Overall,Mortality,External,1227161021.48222,1234674981.64469,209067258.997096,1221717096.79029,1247632866.49908
Crop livestock mixed,Juvenile,Juvenile,Overall,Mortality,Infectious,2599927624.34831,2618071177.08798,331130697.073432,2597547860.97902,2638594493.19695
Crop livestock mixed,Juvenile,Juvenile,Overall,Mortality,Non-infectious,1510021340.78118,1502591528.07681,241110245.598109,1487647634.83087,1517535421.32276
Crop livestock mixed,Neonate,Neonatal,Overall,Mortality,External,490846435.718015,498350750.890243,126321375.040234,490521414.817862,506180086.962625
Crop livestock mixed,Neonate,Neonatal,Overall,Mortality,Infectious,1315596054.71355,1313964818.45229,261515925.480982,1297756191.30413,1330173445.60045
Crop livestock mixed,Neonate,Neonatal,Overall,Mortality,Non-infectious,639449399.399777,646224421.257487,152972136.523803,636743284.22764,655705558.287334
Pastoral,Adult female,Adult,Female,Mortality,External,1984317681.40706,1997482518.26485,362860895.629984,1974992580.21194,2019972456.31775
Pastoral,Adult female,Adult,Female,Mortality,Infectious,3242872782.53184,3253075833.79922,517113026.464942,3221025425.30492,3285126242.29351
Pastoral,Adult female,Adult,Female,Mortality,Non-infectious,2110081811.67855,2139756586.59455,391064092.370822,2115518628.41814,2163994544.77096
Pastoral,Adult male,Adult,Male,Mortality,External,1723040323.48806,1726537929.57824,365720312.770775,1703870766.27142,1749205092.88506
Pastoral,Adult male,Adult,Male,Mortality,Infectious,2338465046.35598,2379072210.8993,456714644.300094,2350765264.12751,2407379157.6711
Pastoral,Adult male,Adult,Male,Mortality,Non-infectious,1559241710.08834,1570069810.61177,338233534.150857,1549106264.18922,1591033357.03432
Pastoral,Juvenile,Juvenile,Overall,Mortality,External,1008408280.36736,1011406977.98969,173326753.915356,1000664271.88547,1022149684.09391
Pastoral,Juvenile,Juvenile,Overall,Mortality,Infectious,1971288064.60052,1968390793.27696,261744746.442633,1952167983.91927,1984613602.63466
Pastoral,Juvenile,Juvenile,Overall,Mortality,Non-infectious,947635296.124332,961521257.438709,161104337.402753,951536090.638214,971506424.239203
Pastoral,Neonate,Neonatal,Overall,Mortality,External,484660295.274025,490773910.009712,121920634.482516,483217329.650943,498330490.36848
Pastoral,Neonate,Neonatal,Overall,Mortality,Infectious,900247959.891248,900659991.095993,196708633.905984,888468087.685358,912851894.506627
Pastoral,Neonate,Neonatal,Overall,Mortality,Non-infectious,423265606.771237,429141536.876607,104320253.001953,422675819.418671,435607254.334544
Crop livestock mixed,Adult female,Adult,Female,Production loss,External,1795447024.57156,1820994618.18822,484656576.015727,1790955844.36939,1851033392.00705
Crop livestock mixed,Adult female,Adult,Female,Production loss,Infectious,4048087294.60258,4063760866.08446,984155557.765685,4002763393.51265,4124758338.65627
Crop livestock mixed,Adult female,Adult,Female,Production loss,Non-infectious,2832308592.15156,2850172089.83943,718148498.835062,2805661602.63593,2894682577.04292
Crop livestock mixed,Adult male,Adult,Male,Production loss,External,4270964289.26818,4256305580.0931,868244196.699773,4202492236.09892,4310118924.08727
Crop livestock mixed,Adult male,Adult,Male,Production loss,Infectious,8949485629.84344,8987511186.51003,1509816002.46144,8893933540.70808,9081088832.31198
Crop livestock mixed,Adult male,Adult,Male,Production loss,Non-infectious,6165321155.40651,6208591031.03838,1154332616.0862,6137046068.93065,6280135993.14612
Crop livestock mixed,Juvenile,Juvenile,Overall,Production loss,External,4751176513.07219,4742874264.64915,815555114.2098,4692326563.81337,4793421965.48493
Crop livestock mixed,Juvenile,Juvenile,Overall,Production loss,Infectious,10938420097.5893,10937413557.6523,1268215750.33984,10858810175.4572,11016016939.8474
