species,production_system,group,age_group,sex,ahle_component,cause,median,mean,sd,lower95,upper95,exchg_rate_lcuperusdol,mean_usd,median_usd,lower95_usd,upper95_usd,sd_usd
All small ruminants,Crop livestock mixed,Adult female,Adult,Female,Health cost,External,,21288937.558951866,306571.23386393423,20688057.940578554,21889817.177325178,29.06975,732339.891431879,,711669.6201576744,753010.1627060837,10546.056772553402
All small ruminants,Crop livestock mixed,Adult female,Adult,Female,Health cost,Infectious,,21288937.558951866,306571.23386393423,20688057.940578554,21889817.177325178,29.06975,732339.891431879,,711669.6201576744,753010.1627060837,10546.056772553402
All small ruminants,Crop livestock mixed,Adult female,Adult,Female,Health cost,Non-infectious,,21288937.558951866,306571.23386393423,20688057.940578554,21889817.177325178,29.06975,732339.891431879,,711669.6201576744,753010.1627060837,10546.056772553402
All small ruminants,Crop livestock mixed,Adult female,Adult,Female,Mortality,External,1381732519.36464,1422953979.04901,1238260922.30242,1346207182.21501,1499700775.883,29.06975,48949646.2490737,47531627.18511993,46309554.85392926,51589737.64421778,42596201.284924015
All small ruminants,Crop livestock mixed,Adult female,Adult,Female,Mortality,Infectious,2848144318.27549,2844859791.25212,2459361302.79239,2692429799.44084,2997289783.0634,29.06975,97863235.53701426,97976223.33441085,92619640.67254929,103106830.4014792,84602079.57730596
All small ruminants,Crop livestock mixed,Adult female,Adult,Female,Mortality,Non-infectious,1832148688.99362,1856167849.02353,1604561870.26207,1756717901.40215,1955617796.6449,29.06975,63852212.31773683,63025952.71695216,60431132.0669132,67273292.56856011,55196961.45519208
All small ruminants,Crop livestock mixed,Adult female,Adult,Female,Production loss,External,5786086885.27495,5875909329.22276,2074683003.82256,5747321507.28517,6004497151.16036,29.06975,202131402.20410427,199041508.27836326,197707978.47539693,206554825.93281198,71369138.15297896
All small ruminants,Crop livestock mixed,Adult female,Adult,Female,Production loss,Infectious,13107190920.9431,13109459781.7529,4324181654.66937,12841449150.9183,13377470412.5876,29.06975,450965687.071712,450887638.21302557,441746115.8392591,460185258.30416846,148751938.1717892
All small ruminants,Crop livestock mixed,Adult female,Adult,Female,Production loss,Non-infectious,9289618121.00117,9190498570.37202,3106737940.40664,8997944496.1584,9383052644.58563,29.06975,316153340.5128018,319563055.1002733,309529476.38553476,322777204.6400685,106871849.27309798
All small ruminants,Crop livestock mixed,Adult male,Adult,Male,Health cost,External,,4960868.4538190365,73006.40769509519,4817775.8947366495,5103961.0129014235,29.06975,170653.97720376117,,165731.59021789487,175576.3641896275,2511.4219315644336
All small ruminants,Crop livestock mixed,Adult male,Adult,Male,Health cost,Infectious,,4960868.4538190365,73006.40769509519,4817775.8947366495,5103961.0129014235,29.06975,170653.97720376117,,165731.59021789487,175576.3641896275,2511.4219315644336
All small ruminants,Crop livestock mixed,Adult male,Adult,Male,Health cost,Non-infectious,,4960868.4538190365,73006.40769509519,4817775.8947366495,5103961.0129014235,29.06975,170653.97720376117,,165731.59021789487,175576.3641896275,2511.4219315644336
All small ruminants,Crop livestock mixed,Adult male,Adult,Male,Mortality,External,423612426.859902,445174357.434312,1287458488.1804,365378319.907057,524970394.961568,29.06975,15314007.084144583,14572276.227346366,12569021.74621581,18058992.422073394,44288598.566564895
All small ruminants,Crop livestock mixed,Adult male,Adult,Male,Mortality,Infectious,843781044.053675,844772377.459893,2407573797.57907,695552149.495279,993992605.424506,29.06975,29060187.22073265,29026085.33109762,23927008.298842575,34193366.142622694,82820588.32907301
All small ruminants,Crop livestock mixed,Adult male,Adult,Male,Mortality,Non-infectious,481545484.591713,498286347.999009,1447687009.55784,408559426.31343,588013269.684589,29.06975,17141060.655802306,16565174.609059693,14054452.697853612,20227668.61375103,49800463.009067506
All small ruminants,Crop livestock mixed,Adult male,Adult,Male,Production loss,External,872358954.645497,954050759.489027,1666066059.88082,850788812.74849,1057312706.22956,29.06975,32819365.81804202,30009166.045304723,29267152.718839686,36371578.91724422,57312706.84752432
All small ruminants,Crop livestock mixed,Adult male,Adult,Male,Production loss,Infectious,1838125687.34265,2026573960.79989,3494827207.41194,1809966306.60822,2243181614.99157,29.06975,69714186.08002786,63231561.58352411,62262878.305049755,77165493.85500632,120222128.06824759
All small ruminants,Crop livestock mixed,Adult male,Adult,Male,Production loss,Non-infectious,1321772587.48076,1380957364.27135,2424156593.52856,1230709342.85161,1531205385.69108,29.06975,47504961.83391154,45469004.29074072,42336426.79595146,52673496.87187128,83391036.85200459
All small ruminants,Crop livestock mixed,Juvenile,Juvenile,Overall,Health cost,External,,5377291.90905386,71890.15197939564,5236387.211174245,5518196.6069334755,29.06975,184978.9526588244,,180131.82814349091,189826.07717415786,2473.0227119048373
