species,production_system,group,age_group,sex,year,ahle_component,cause,mean,sd,lower95,upper95,region,disease,disease_proportion,exchg_rate_lcuperusdol,mean_usd,lower95_usd,upper95_usd,sd_usd
All Poultry,Small holder,Adult,Adult,Overall,2017,Health cost,External,-92518.09298803273,4670.275675325248,-101671.83331167021,-83364.35266439525,National,Cause A,0.5,23.8661044574125,-3876.547727054711,-4260.093367692115,-3493.0020864173066,195.6865513456144
All Poultry,Small holder,Adult,Adult,Overall,2017,Health cost,External,-64762.665091622905,3269.1929727276734,-71170.28331816914,-58355.04686507666,National,Cause B,0.35,23.8661044574125,-2713.5834089382975,-2982.0653573844797,-2445.1014604921143,136.98058594193006
All Poultry,Small holder,Adult,Adult,Overall,2017,Health cost,External,-27755.42789640982,1401.0827025975743,-30501.549993501067,-25009.305799318572,National,Cause C,0.15,23.8661044574125,-1162.9643181164133,-1278.0280103076345,-1047.900625925192,58.70596540368432
All Poultry,Small holder,Adult,Adult,Overall,2017,Health cost,Infectious,-0.0,0.0,-0.0,0.0,National,PPR,0.0,23.8661044574125,-0.0,-0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2017,Health cost,Infectious,-0.0,0.0,-0.0,0.0,National,Brucellosis,0.0,23.8661044574125,-0.0,-0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2017,Health cost,Infectious,-185036.18597606546,9340.551350650496,-203343.66662334042,-166728.7053287905,National,Other Infectious,1.0,23.8661044574125,-7753.095454109422,-8520.18673538423,-6986.004172834613,391.3731026912288
All Poultry,Small holder,Adult,Adult,Overall,2017,Health cost,Non-infectious,-92518.09298803273,4670.275675325248,-101671.83331167021,-83364.35266439525,National,Condition A,0.5,23.8661044574125,-3876.547727054711,-4260.093367692115,-3493.0020864173066,195.6865513456144
All Poultry,Small holder,Adult,Adult,Overall,2017,Health cost,Non-infectious,-64762.665091622905,3269.1929727276734,-71170.28331816914,-58355.04686507666,National,Condition B,0.35,23.8661044574125,-2713.5834089382975,-2982.0653573844797,-2445.1014604921143,136.98058594193006
All Poultry,Small holder,Adult,Adult,Overall,2017,Health cost,Non-infectious,-27755.42789640982,1401.0827025975743,-30501.549993501067,-25009.305799318572,National,Condition C,0.15,23.8661044574125,-1162.9643181164133,-1278.0280103076345,-1047.900625925192,58.70596540368432
All Poultry,Small holder,Adult,Adult,Overall,2017,Mortality,External,3829338.506364295,12053989.621096,-19796481.150983866,27455158.163712453,National,Cause A,0.5,23.8661044574125,160450.92374406967,-829481.0402053419,1150382.887693481,505067.3285456181
